Date,Filter ID,Mass (mg),,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'11-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41668,0.098012,,,,,,,,,,,,,,,,,,,,,
'12-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41667,0.0955,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'13-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41671,0.097628,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41666,0.098284,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'16-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41666,0.098283,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'17-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41671,0.097632,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41671,0.097632,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41666,0.098283,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41666,0.098284,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'19-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41669,0.097816,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41669,0.097816,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41669,0.097816,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41671,0.097632,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41666,0.098287,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41668,0.098008,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41668,0.098008,,,,,,,,,,,,,,,,,,,,,
'20-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41666,0.098283,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41666,0.098284,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41666,0.098284,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'21-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
