SALARY,AGE,GENDER
89000,32,M
90000,31,M
95000,38,M
130000,36,F
25000,60,M
204000,71,M
80000,52,M
80350,31,M
120000,34,M
96000,36,M
115000,50,M
111560,57,M
90000,49,M
220000,61,M
120000,63,M
100000,62,M
101271,32,M
80228,37,F
150000,36,M
112000,33,F
136000,59,M
125000,35,M
85000,42,M
97391,35,M
140000,59,M
62000,37,F
90000,53,M
130000,55,M
105000,40,M
115000,50,M
135000,37,M
104000,55,M
120000,45,M
110000,43,M
56000,53,M
150000,74,M
80000,56,M
10000,65,M
24000,47,F
81500,44,M
105000,42,M
110513,34,F
90000,55,M
86000,46,M
110000,46,M
138000,54,M
155000,49,M
250000,68,M
90000,43,M
103000,50,M
107000,37,M
125000,42,M
150000,43,M
140000,49,M
0,72,M
100000,35,F
40000,38,F
171000,52,M
60000,61,M
100000,59,M
130000,52,M
110000,35,M
134000,53,M
116000,34,M
91000,44,M
135000,45,M
125000,43,M
90000,42,M
150000,52,F
86500,38,M
100000,35,F
84000,34,M
235000,49,M
20000,60,M
89500,32,M
116000,36,M
120000,47,M
130000,36,M
134000,34,F
78000,62,M
125000,53,M
145000,55,M
34000,65,M
140000,55,F
82000,37,M
4000,36,M
125000,39,M
100000,37,M
131000,47,M
101000,33,F
87000,42,M
220000,45,M
96000,46,M
100000,39,M
185000,50,M
95000,52,M
108000,39,M
110000,50,F
111000,37,M
110000,37,M
117000,53,M
141243,53,M
100000,37,M
128500,41,M
130000,44,M
110000,55,M
79000,35,M
87500,34,M
105000,52,M
193000,50,M
155000,60,M
185000,37,M
50000,57,M
140000,63,M
150000,44,M
148000,51,M
85000,30,M
1850,58,M
50000,70,M
136000,42,F
188000,48,F
250000,52,M
45000,57,F
100000,35,M
30000,51,F
123000,53,M
102000,30,M
106480,38,M
105,60,M
52000,36,M
100000,69,M
15000,70,M
122301,56,M
100000,39,M
189000,60,M
75000,58,F
115000,42,F
174000,57,M
75000,34,M
154000,53,M
85000,31,M
98000,66,M
236000,49,M
130800,52,M
188574,44,M
98000,53,M
125000,40,M
140000,45,M
111566,51,F
89000,30,M
12000,66,M
180000,61,M
185000,56,M
66000,45,M
103000,44,M
250000,49,M
110000,35,M
91000,52,M
105000,43,M
275000,50,M
50000,46,M
58000,55,M
140920,46,F
132000,35,M
65000,35,M
0,57,M
134000,67,M
83000,33,M
95000,36,M
86000,59,M
120000,57,M
122000,38,M
156530,59,M
104700,35,M
80000,33,F
150000,42,M
68640,51,M
85000,44,M
120000,60,M
120000,52,M
200000,59,M
210000,55,M
115000,42,F
160000,50,M
94000,32,M
135000,40,M
103695,45,F
80000,31,M
90000,34,M
140000,30,F
85000,57,M
90000,43,M
275000,46,M
158000,54,M
115000,45,M
105000,57,M
101650,31,M
100000,55,M
110000,39,M
165000,47,M
90000,31,M
109000,46,M
104000,39,M
155000,33,M
120000,62,M
118000,52,M
108000,48,F
165000,36,M
148000,37,M
118300,56,M
83000,47,M
150000,65,M
105000,37,M
152000,52,M
106000,41,M
120000,53,M
93000,58,M
130000,34,M
150000,67,M
140000,47,M
152000,44,M
150000,66,M
122000,39,F
140000,49,M
74500,32,M
185000,45,M
105000,72,M
125000,40,M
193000,58,M
78000,41,M
113000,42,F
121800,37,M
108000,29,M
105000,36,M
200000,42,M
90000,40,M
1027653,55,M
110000,31,M
120000,41,M
110000,46,M
90000,31,M
130000,53,M
110000,45,M
79000,52,F
96000,44,F
122000,42,M
11440,44,F
195000,59,M
110000,39,M
93000,32,M
43000,69,M
155000,50,M
61000,45,M
110040,66,M
70000,55,M
250000,53,M
85608,34,M
97000,41,M
300000,43,M
60000,57,M
90000,42,M
95680,54,M
98000,33,M
135000,42,M
160000,37,M
80000,62,M
20000,57,M
25000,39,F
91700,30,M
85000,45,M
74000,36,M
87000,40,M
40000,44,M
65760,58,M
135000,43,M
145000,34,M
104000,47,M
138000,59,M
65000,63,M
80000,55,M
98000,52,M
65000,55,M
112000,53,M
125000,60,M
250000,43,M
69000,36,M
185000,54,M
35000,38,M
100000,34,M
95000,48,M
64000,46,F
115000,38,M
90000,32,M
40000,54,M
170000,45,F
201000,44,M
88000,38,M
120000,50,M
155000,53,M
91000,39,M
160000,46,M
114400,52,M
118000,57,M
150000,49,M
110000,62,M
89000,38,M
110000,35,M
230000,63,M
60000,60,M
95000,58,M
99000,56,M
101000,45,M
230000,67,M
80000,72,M
