STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-01,66,81,52
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-02,67,82,53
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-03,67,80,53
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-04,65,79,49
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-05,66,82,49
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-06,67,83,48
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-07,65,78,51
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-08,64,77,52
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-09,65,81,47
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-10,68,86,48
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-11,71,87,52
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-12,70,86,53
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-13,69,85,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-14,67,81,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-15,69,84,56
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-16,72,87,55
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-17,72,85,59
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-18,70,86,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-19,73,89,55
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-20,71,86,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-21,71,90,51
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-22,71,90,55
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-23,70,84,58
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-24,68,87,55
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-25,64,77,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-26,64,79,55
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-27,65,79,54
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-28,65,81,50
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-29,68,85,49
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-30,69,83,59
USR0000CJAC,"JACKS CANYON COLORADO, CO US",2019-07-31,65,83,54
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-01,74,81,68
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-02,73,80,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-03,73,79,68
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-04,73,81,67
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-05,75,82,68
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-06,75,83,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-07,73,80,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-08,76,85,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-09,76,83,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-10,76,85,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-11,74,82,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-12,74,82,67
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-13,74,80,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-14,75,82,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-15,75,83,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-16,74,84,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-17,75,83,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-18,75,84,68
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-19,75,81,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-20,75,82,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-21,75,82,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-22,72,75,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-23,74,84,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-24,75,84,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-25,75,82,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-26,76,84,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-27,75,84,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-28,74,80,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-29,74,79,69
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-30,74,84,70
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",2019-07-31,76,86,70
