"STATION","NAME","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T01:00:00","21.9","51.1","37.9","69.7","62.1","77.0","69.7","69.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T02:00:00","24.1","52.0","38.4","68.5","61.0","75.0","68.5","68.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T03:00:00","24.1","52.0","38.6","67.0","59.0","73.9","67.0","67.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T04:00:00","25.0","52.0","38.7","65.6","57.9","73.0","65.6","65.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T05:00:00","25.0","52.0","38.9","64.4","57.0","72.0","64.4","64.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T06:00:00","27.0","53.1","40.0","65.8","59.0","72.0","65.8","65.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T07:00:00","30.0","53.1","41.5","70.1","63.0","75.9","70.1","70.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T08:00:00","30.9","52.0","41.9","74.0","66.9","80.1","74.0","74.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T09:00:00","30.0","52.0","41.5","77.6","70.0","84.0","77.6","77.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T10:00:00","30.0","52.0","41.1","80.8","73.0","88.0","80.8","80.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T11:00:00","30.0","51.1","40.4","84.1","75.0","91.0","84.1","84.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T12:00:00","28.9","51.1","39.9","86.6","77.0","93.9","86.6","86.6"
