"STATION","NAME","DATE","HLY-TEMP-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T15:00:00","85.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T16:00:00","85.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T17:00:00","84.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T18:00:00","82.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T19:00:00","80.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T20:00:00","75.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T21:00:00","71.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T22:00:00","69.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-15T23:00:00","67.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T00:00:00","66.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T01:00:00","64.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T02:00:00","63.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T03:00:00","62.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T04:00:00","60.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T05:00:00","59.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T06:00:00","61.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T07:00:00","66.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T08:00:00","69.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T09:00:00","73.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T10:00:00","76.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T11:00:00","79.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T12:00:00","82.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T13:00:00","83.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T14:00:00","85.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T15:00:00","85.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T16:00:00","85.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","06-16T17:00:00","85.0"
