wave,time_r,amod,aeronet
440nm,2020-08-15T20:05:54Z,0.45723625,0.444568
440nm,2020-08-15T20:20:54Z,0.4568675,0.440295
440nm,2020-08-15T20:35:54Z,0.43228833333333333,0.393662
440nm,2020-08-15T20:50:54Z,0.391488,0.380608
440nm,2020-08-15T21:05:54Z,0.367125,0.375626
440nm,2020-08-15T21:20:54Z,0.355419,0.345772
440nm,2020-08-15T21:35:54Z,0.39397333333333334,0.347939
440nm,2020-08-15T21:50:54Z,0.37541166666666664,0.33597900000000003
440nm,2020-08-26T15:06:08Z,0.6499688571428571,0.603677
440nm,2020-08-26T15:15:17Z,0.6706708571428571,0.605683
440nm,2020-08-27T17:18:05Z,0.24148114285714287,0.178551
440nm,2020-08-27T17:33:05Z,0.2412828,0.173578
440nm,2020-08-27T17:48:05Z,0.2640494,0.183575
440nm,2020-08-27T18:03:05Z,0.252904,0.175672
440nm,2020-08-27T18:18:05Z,0.2482648,0.180073
440nm,2020-08-27T18:33:05Z,0.25695419999999997,0.172615
440nm,2020-08-27T18:48:05Z,0.2566106,0.182224
440nm,2020-09-02T20:31:16Z,0.104379,0.047178
440nm,2020-09-02T20:46:16Z,0.10831942857142858,0.048654
440nm,2020-09-02T21:01:16Z,0.10215185714285714,0.047322
440nm,2020-09-02T21:10:27Z,0.09841233333333334,0.047627
440nm,2020-09-02T21:19:55Z,0.11813699999999999,0.047332
440nm,2020-09-02T21:31:16Z,0.10126357142857143,0.04761
440nm,2020-09-02T21:46:16Z,0.09512371428571428,0.049326
440nm,2020-09-02T22:01:15Z,0.10904114285714285,0.051156
440nm,2020-09-02T22:10:24Z,0.10581085714285714,0.053825
440nm,2020-09-03T20:30:57Z,0.18415266666666666,0.137766
440nm,2020-09-03T20:45:57Z,0.1878155,0.123696
440nm,2020-09-03T21:00:57Z,0.19370283333333332,0.116794
440nm,2020-09-03T21:10:07Z,0.1681886,0.114835
440nm,2020-09-03T21:19:35Z,0.171689875,0.105731
440nm,2020-09-03T21:30:57Z,0.1593562,0.105738
440nm,2020-09-03T21:45:56Z,0.1518512,0.108037
440nm,2020-09-03T22:00:56Z,0.1585258,0.109067
440nm,2020-09-03T22:10:06Z,0.1550086,0.113495
440nm,2020-09-03T22:19:36Z,0.164642,0.114106
440nm,2020-09-03T22:28:44Z,0.163799,0.114575
440nm,2020-09-04T18:00:37Z,0.2688253333333333,0.193733
440nm,2020-09-04T18:15:37Z,0.20282275,0.160706
440nm,2020-09-04T18:30:37Z,0.19679325,0.154057
440nm,2020-09-04T18:45:37Z,0.20403000000000002,0.147009
440nm,2020-09-04T19:00:37Z,0.210994125,0.142948
440nm,2020-09-07T21:08:45Z,1.0899226,0.991996
440nm,2020-09-07T21:18:11Z,0.996378625,0.978287
440nm,2020-09-07T21:29:36Z,0.9559037142857143,0.999701
440nm,2020-09-07T21:44:35Z,1.100429,1.029168
440nm,2020-09-07T21:59:35Z,1.1067875,1.080094
440nm,2020-09-07T22:08:46Z,1.847856,1.128562
440nm,2020-09-16T15:05:15Z,1.288623,1.367788
440nm,2020-09-16T15:10:15Z,1.325068,1.363294
440nm,2020-09-16T15:12:11Z,1.325068,1.376096
440nm,2020-09-16T15:15:15Z,1.3571374999999999,1.393179
440nm,2020-09-16T15:20:15Z,1.404424,1.434382
440nm,2020-09-16T15:25:15Z,1.3752659999999999,1.437782
440nm,2020-09-16T15:27:10Z,1.361101,1.460165
440nm,2020-09-16T15:36:31Z,1.4023915,1.454234
440nm,2020-09-16T15:46:11Z,1.442091,1.509355
440nm,2020-09-16T15:50:15Z,1.463917,1.524513
440nm,2020-09-16T15:55:15Z,1.4985215,1.531753
440nm,2020-09-16T16:04:38Z,1.467206,1.53764
440nm,2020-09-16T16:14:13Z,1.440477,1.47318
440nm,2020-09-16T16:20:16Z,1.396671,1.494144
440nm,2020-09-16T16:25:15Z,1.4605044999999999,1.525616
440nm,2020-09-16T16:30:16Z,1.425694,1.54817
440nm,2020-09-16T16:35:16Z,1.459516,1.55068
440nm,2020-09-16T16:40:16Z,1.515784,1.582132
440nm,2020-09-16T16:45:16Z,1.535559,1.59294
440nm,2020-09-16T16:50:16Z,1.49328,1.564869
440nm,2020-09-16T16:55:16Z,1.4836455000000002,1.526857
440nm,2020-09-16T17:04:47Z,1.341471,1.439631
440nm,2020-09-16T17:14:42Z,1.398985,1.443937
440nm,2020-09-16T17:20:16Z,1.408052,1.458765
440nm,2020-09-16T17:25:16Z,1.370848,1.409851
440nm,2020-09-16T17:30:16Z,1.361113,1.39999
440nm,2020-09-16T17:35:16Z,1.364091,1.419349
440nm,2020-09-16T17:40:16Z,1.3391245,1.410863
440nm,2020-09-16T17:45:16Z,1.344677,1.428412
440nm,2020-09-16T17:50:16Z,1.373282,1.443177
440nm,2020-09-16T17:55:16Z,1.399812,1.431949
