date2,Ozone,CO,NO2,PM2.5
2019-12-31,19.368,0.429167,26.934783,7.1
2019-12-30,18.416999999999998,0.3625,29.821739,5.1
2019-12-29,14.333,0.304167,27.443478,5.3
2019-12-28,26.75,0.220833,9.478261,7.2
2019-12-27,9.417,0.466667,24.352174,18.7
2019-12-26,7.917000000000001,0.354167,25.863636,10.7
2019-12-25,17.042,0.383333,21.534783,5.3
2019-12-24,5.458,0.766667,36.965217,10.5
2019-12-23,4.625,0.641667,40.11875,8.8
2019-12-22,11.417,0.558333,31.473913,6.8
2019-12-21,11.75,0.520833,30.621739,8.1
2019-12-20,9.667,0.541667,30.795652,7.9
2019-12-19,1.5,0.688235,34.96087,8.7
2019-12-17,15.053,0.325,28.047826,5.1
2019-12-16,18.833,0.241667,20.91,6.5
2019-12-15,23.333,0.3625,17.695652,9.9
2019-12-14,17.208000000000002,0.270833,19.404348,7.2
2019-12-13,24.417,0.225,17.086957,2.7
2019-12-12,19.75,0.333333,25.469565,4.4
2019-12-11,13.458,0.533333,30.265217,9.8
2019-12-10,3.5,0.595833,27.86087,14.9
2019-12-09,11.625,0.266667,16.938095,6.2
2019-12-08,23.625,0.329167,17.56087,3.5
2019-12-07,14.417,0.633333,21.53913,5.8
2019-12-06,2.958,0.716667,31.734783,15
2019-12-05,7.167,0.625,30.191304,9
2019-12-04,4.042,0.7,42,15.9
2019-12-03,20.167,0.45,24.873913,3.9
2019-12-02,5.292,1.004167,47.886957,16.6
2019-12-01,7.042,0.533333,41.265217,10.7
2019-11-30,23.25,0.216667,15.443478,4.4
2019-11-29,13.958,0.4375,23.2,23.5
2019-11-28,15.583,0.35,19.356522,24.1
2019-11-27,10.333,0.5625,36.278261,13.3
2019-11-26,17.666999999999998,0.233333,17.004348,5.3
2019-11-25,17.416999999999998,0.325,22.805,5.3
2019-11-24,22.833,0.379167,20.63913,3.8
2019-11-23,1,0.520833,24.465217,7.8
2019-11-21,6.947,0.2,15.526087,6.1
2019-11-20,10.833,0.516667,22.286957,7.8
2019-11-19,6.042,0.5375,29.552381,7.2
2019-11-18,16.333000000000002,0.216667,20.917647,3.2
2019-11-17,21.291999999999998,0.275,20.682609,5.2
2019-11-16,24.167,0.404167,15.226087,5.7
2019-11-15,2.625,0.695833,34.709091,11.8
2019-11-14,9.059,0.279167,19.147826,7.2
2019-11-13,24.625,0.283333,15.582609,3.6
2019-11-12,11.25,0.55,27.834783,8.1
2019-11-11,9.458,0.25,17.433333,8.4
2019-11-10,16.917,0.366667,20.891304,6
2019-11-09,14.917,0.320833,23.056522,6.1
2019-11-08,13.708,0.5875,21.926087,8.6
2019-11-07,5.042,0.3,18.134783,9.6
2019-11-06,7.792000000000001,0.554167,19.769565,7.9
2019-11-05,5.083,0.65,30.86087,24.9
2019-11-04,10.875,0.345833,22.533333,8.7
2019-11-03,10.708,0.675,32.956522,14.3
2019-11-02,8.625,0.475,35.643478,19.8
2019-11-01,16.958000000000002,0.670833,31.065217,14.5
2019-10-31,5.792000000000001,0.620833,46.334783,14.7
2019-10-30,15,0.195833,17.386957,6.5
2019-10-29,20.542,0.204167,14.56,4.3
2019-10-28,13.75,0.258333,20.317391,6.6
2019-10-27,23.375,0.15,8.343478,3.1
2019-10-26,24.417,0.2625,14.530435,3.4
2019-10-25,19.042,0.283333,17.6,4.1
2019-10-24,17.708000000000002,0.254167,13.62381,6
2019-10-23,26.666999999999998,0.2,11.817391,3.4
2019-10-22,29.958,0.1625,9.386957,2.1
2019-10-21,30.75,0.204167,10.321739000000001,2.3
2019-10-20,35.125,0.1875,3.973913,1.9
2019-10-19,23.25,0.266667,17.930435,4.6
2019-10-18,26.083,0.304167,19.22381,6.2
2019-10-17,10.706,0.3875,26.282609,5.9
2019-10-16,3,0.508333,27.72381,8.9
2019-10-15,20.262999999999998,0.3125,20.008696,7.1
2019-10-14,21.541999999999998,0.404167,24.5,6.9
2019-10-13,18.958,0.4,23.934783,6
2019-10-12,14.625,0.391667,27.165217,8
2019-10-11,16.208,0.2875,20.23913,7
2019-10-10,12.208,0.179167,12.847826,4.8
2019-10-09,19.292,0.3,15.452174,6.9
2019-10-08,18.625,0.454167,29.169565,7.6
2019-10-07,21,0.370833,24.182609,7
2019-10-06,27.917,0.1625,9.078261,3.9
2019-10-05,32.5,0.2375,9.447826,5.3
2019-10-03,20.867,0.213636,13.68,10.9
2019-10-02,9.207999999999998,0.2,9.414286,6.6
2019-10-01,5.5,0.175,7.521739,5.6
2019-09-30,28.292,0.191667,7.717391,5.1
2019-09-29,30.708,0.158333,5.769565,5.2
2019-09-28,27,0.208333,9.682609,6.6
2019-09-27,28.083000000000002,0.204167,9.234783,5
2019-09-26,23.083,0.241176,16.682609,6.7
2019-09-25,27.333,0.320833,17.933333,6.5
2019-09-24,22.583,0.325,20.154545,5.7
2019-09-23,14.833,0.370833,19.456522,5.2
2019-09-22,29.375,0.195833,8.3217390000000009,4.6
2019-09-21,32.625,0.1875,11.33913,5.1
2019-09-20,30.583,0.1625,8.173913,4.4
2019-09-19,34.667,0.270833,16.365217,7.6
2019-09-18,25.75,0.2375,14.282609,6.7
2019-09-17,23.583,0.266667,19.342857,5.5
2019-09-16,30.458,0.291667,14.682609,7.2
2019-09-15,31.458,0.291667,14.382609,7.2
2019-09-14,32.417,0.3375,17.517391,6.9
2019-09-13,28.958000000000002,0.275,19.213043,7.6
2019-09-12,37.875,0.2,10.595652,4.7
2019-09-11,33.667,0.258333,15.543478,9.9
2019-09-10,44.333,0.216667,13.514286,9.6
2019-09-09,34,0.2375,14.895652,8.8
2019-09-08,31.417,0.191667,8.63913,5
2019-09-07,37.708,0.2,10.2,6.2
2019-09-06,35,0.291667,14.53913,10
2019-09-05,35.125,0.2375,11.457143,5.6
2019-09-02,30.583,0.258333,15.566667,6.7
2019-09-01,34.333000000000006,0.270833,13.447826,8.1
2019-08-31,38.333,0.2125,7.965217,9.4
2019-08-30,38,0.229167,12.869565,10
2019-08-29,28.583000000000002,0.258333,14.313043,6.5
2019-08-28,30.041999999999998,0.2625,16.778261,6.9
2019-08-27,34.125,0.2,8.969565,6.6
2019-08-26,41.708000000000006,0.191667,9.026087,5.9
2019-08-25,36.416999999999994,0.216667,6.804348,5.2
2019-08-24,40.833,0.195833,9.108696,7.2
2019-08-23,43.166999999999994,0.225,12.152174,7.5
2019-08-22,40.667,0.2,11.3,6.7
2019-08-21,41.458,0.2,11.16087,8.6
2019-08-20,36.458,0.283333,16.06087,11
2019-08-19,32.542,0.2875,19.772222,9.4
2019-08-18,37.958,0.233333,9.182609,10.2
2019-08-17,34.958000000000006,0.183333,10.186957,7.1
2019-08-16,37.417,0.2,11.791304,10.6
2019-08-15,29.625,0.208333,11.930435,6.5
2019-08-14,36.125,0.2,14.878261,7
2019-08-13,40.125,0.170833,11.682609,6.2
2019-08-12,37.042,0.191667,12.528571,5.3
2019-08-11,31.917,0.154167,6.6,4.9
2019-08-10,41.458,0.179167,8.543478,5.2
2019-08-09,40.083,0.2,8.76087,5.7
2019-08-08,44.917,0.220833,10.995652,7.7
2019-08-07,51.166999999999994,0.25,10.013043,9.1
2019-08-06,45.417,0.2,12.008696,7.7
2019-08-05,45.417,0.145833,7.691304,5.2
2019-08-04,46.792,0.1625,5.817391,4.8
2019-08-03,44.333,0.179167,10.256522,7.3
2019-08-02,38.458,0.2,9.358824,7.7
2019-08-01,36.792,0.254167,12.452174,7.3
2019-07-31,41.125,0.258333,11.891304,9.5
2019-07-30,37.25,0.2125,10.882609,9.2
2019-07-29,38.333,0.183333,7.669565,7.1
2019-07-28,34.75,0.2,8.917391,6.1
2019-07-27,40.167,0.2,6.947826,5.6
2019-07-26,39.708,0.216667,10.982609,6
2019-07-25,38.083,0.191667,10.930435,5.7
2019-07-24,43.916999999999994,0.2375,10.16087,6.9
2019-07-23,45.542,0.208333,10.121739,9
2019-07-19,41.75,0.216667,14.473913,6.1
2019-07-18,40.458,0.195833,14.126087,7.1
2019-07-17,43.5,0.204167,9.543478,6.6
2019-07-16,40.208,0.220833,10.926087,6.1
