day,vendor,metal
1,322,44.2
2,317,44.3
3,319,44.4
4,323,43.4
5,327,42.8
6,328,44.3
7,325,44.4
8,326,44.8
9,330,44.4
10,334,43.1
11,337,42.6
12,341,42.4
13,322,42.2
14,318,41.8
15,320,40.1
16,326,42
17,332,42.4
18,334,43.1
19,335,42.4
20,336,43.1
21,335,43.2
22,338,42.8
23,342,43
24,348,42.8
25,330,42.5
26,326,42.6
27,329,42.3
28,337,42.9
29,345,43.6
30,350,44.7
31,351,44.5
32,354,45
33,355,44.8
34,357,44.9
35,362,45.2
36,368,45.2
37,348,45
38,345,45.5
39,349,46.2
40,355,46.8
41,362,47.5
42,367,48.3
43,366,48.3
44,370,49.1
45,371,48.9
46,375,49.4
47,380,50
48,385,50
49,361,49.6
50,354,49.9
51,357,49.6
52,367,50.7
53,376,50.7
54,381,50.9
55,381,50.5
56,383,51.2
57,384,50.7
58,387,50.3
59,392,49.2
60,396,48.1
