UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/10/23T00:00:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.06,0.02,30128,31,817,4.30,6.07,6.39,4.30,6.07,6.39,836.74,254.26,41.80,1.91,0.59,0.33,4.05,5.42,6.87,4.05,5.42,6.87,776.45,234.42,33.74,4.26,2.18,0.50
2018/10/23T00:02:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.06,0.02,30128,31,897,4.59,6.43,6.65,4.59,6.43,6.65,881.02,261.43,37.98,2.93,0.39,0.26,4.16,6.32,7.05,4.16,6.32,7.05,858.32,261.46,39.73,3.51,0.95,0.50
2018/10/23T00:03:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.11,0.02,29848,31,977,5.19,6.58,6.94,5.19,6.58,6.94,935.13,283.17,29.71,3.60,0.60,0.26,4.42,5.82,5.82,4.42,5.82,5.82,851.13,258.16,30.71,2.05,0.95,0.50
2018/10/23T00:04:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.06,0.02,29592,31,1057,4.72,5.59,6.13,4.72,5.59,6.13,870.00,261.83,35.24,1.70,0.78,0.39,4.27,5.84,5.84,4.27,5.84,5.84,795.49,244.65,33.35,1.03,0.95,0.50
2018/10/23T00:06:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.09,0.02,30128,31,1137,3.78,5.33,5.33,3.78,5.33,5.33,832.83,251.96,33.57,0.83,0.78,0.39,4.06,6.33,6.33,4.06,6.33,6.33,845.00,258.67,39.97,1.14,0.95,0.50
2018/10/23T00:07:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.12,0.02,30128,31,1217,4.30,5.76,6.07,4.30,5.76,6.07,838.04,256.50,34.83,2.00,0.37,0.37,4.23,6.21,6.90,4.23,6.21,6.90,842.46,254.69,31.33,4.31,1.49,0.50
2018/10/23T00:08:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.14,0.02,30128,31,1297,4.02,5.40,5.40,4.02,5.40,5.40,794.55,242.21,29.47,1.40,0.37,0.37,4.24,5.45,5.74,4.24,5.45,5.74,805.11,245.34,26.89,1.18,0.37,0.50
2018/10/23T00:10:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.05,0.02,29512,31,1377,4.00,5.54,5.61,4.00,5.54,5.61,787.70,241.39,34.30,2.26,0.26,0.37,4.32,5.41,5.62,4.32,5.41,5.62,800.27,246.89,33.00,1.14,0.32,0.50
2018/10/23T00:11:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.17,0.02,29672,31,1457,4.40,5.91,6.09,4.40,5.91,6.09,821.47,254.82,35.69,1.38,0.38,0.37,4.00,5.74,6.18,4.00,5.74,6.18,775.26,246.05,34.13,1.37,0.87,0.50
2018/10/23T00:12:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.16,0.02,30128,31,1537,3.93,5.65,5.91,3.93,5.65,5.91,804.46,245.43,30.67,1.39,0.50,0.37,4.62,6.30,6.54,4.62,6.30,6.54,838.86,264.32,42.22,0.89,0.41,0.50
2018/10/23T00:14:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,851.22,0.02,30128,31,1617,3.49,5.40,5.49,3.49,5.40,5.49,757.66,236.30,39.60,2.06,0.32,0.37,4.32,5.92,6.32,4.32,5.92,6.32,825.79,251.71,36.18,2.50,0.66,0.37
2018/10/23T00:15:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.21,0.02,29696,31,1697,4.06,5.06,5.17,4.06,5.06,5.17,748.34,233.81,32.00,1.70,0.32,0.37,3.78,5.51,5.68,3.78,5.51,5.68,770.03,236.30,31.70,1.32,0.41,0.37
2018/10/23T00:16:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.25,0.02,29696,31,1777,3.67,5.33,6.11,3.67,5.33,6.11,754.20,227.60,37.33,2.73,1.04,0.38,4.06,5.19,5.19,4.06,5.19,5.19,744.92,231.22,29.75,0.69,0.41,0.37
2018/10/23T00:18:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.20,0.02,30128,31,1857,3.24,4.16,4.29,3.24,4.16,4.29,653.53,201.29,28.07,0.96,0.36,0.38,3.26,4.82,5.16,3.26,4.82,5.16,660.16,205.21,34.16,0.76,0.47,0.37
2018/10/23T00:19:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.30,0.02,30128,31,1937,2.60,4.00,4.26,2.60,4.00,4.26,594.89,173.74,25.94,2.15,0.06,0.38,3.16,4.00,4.08,3.16,4.00,4.08,627.16,193.03,24.18,1.21,0.32,0.37
2018/10/23T00:20:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.29,0.02,29640,31,2017,2.81,3.87,4.04,2.81,3.87,4.04,643.72,188.06,23.19,0.49,0.23,0.38,3.20,4.46,4.46,3.20,4.46,4.46,623.14,196.43,23.69,1.31,0.32,0.37
2018/10/23T00:22:09z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.32,0.02,29512,31,2097,2.65,4.17,4.26,2.65,4.17,4.26,618.26,189.52,23.74,1.74,0.28,0.38,3.00,4.05,4.05,3.00,4.05,4.05,624.62,185.18,20.92,1.28,0.32,0.37
2018/10/23T00:23:29z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.34,0.02,30128,31,2177,2.41,3.17,3.50,2.41,3.17,3.50,584.93,174.70,18.20,1.09,0.70,0.38,2.92,4.30,4.30,2.92,4.30,4.30,635.92,195.11,32.62,0.78,0.32,0.37
2018/10/23T00:24:49z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,851.36,0.02,30128,31,2257,2.28,3.66,3.89,2.28,3.66,3.89,598.02,178.47,19.53,1.72,0.30,0.38,2.92,3.87,4.55,2.92,3.87,4.55,607.11,187.16,21.32,1.55,1.16,0.29
2018/10/23T00:26:38z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.20,0.01,29672,31,28,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
2018/10/23T00:27:57z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.43,0.02,30128,31,107,2.13,3.09,3.31,2.13,3.09,3.31,553.93,167.40,20.04,2.00,0.27,0.00,2.38,2.65,3.03,2.38,2.65,3.03,500.92,151.32,10.14,0.81,0.73,0.00
2018/10/23T00:29:17z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.41,0.02,29848,31,187,2.34,3.51,3.51,2.34,3.51,3.51,570.45,176.30,22.34,1.02,0.27,0.00,3.31,4.47,5.06,3.31,4.47,5.06,639.58,199.75,23.64,2.14,0.75,0.00
2018/10/23T00:30:37z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.47,0.02,29696,31,267,3.07,3.87,4.26,3.07,3.87,4.26,623.74,189.00,25.57,1.98,0.74,0.00,2.69,4.33,4.41,2.69,4.33,4.41,597.38,186.64,21.95,1.90,0.08,0.00
2018/10/23T00:31:57z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.28,0.02,30128,31,347,2.93,4.18,4.18,2.93,4.18,4.18,602.00,183.73,25.16,1.80,0.11,0.11,3.08,4.16,4.16,3.08,4.16,4.16,645.00,194.11,27.68,0.08,0.08,0.00
2018/10/23T00:33:17z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.52,0.02,30128,31,427,3.59,4.22,4.67,3.59,4.22,4.67,637.89,196.61,19.41,1.83,0.52,0.26,2.41,3.27,3.35,2.41,3.27,3.35,522.49,163.97,17.30,1.46,0.30,0.00
2018/10/23T00:34:37z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,851.52,0.02,30128,31,507,2.83,3.64,3.89,2.83,3.64,3.89,621.06,190.17,21.17,0.62,0.34,0.26,2.63,3.63,3.63,2.63,3.63,3.63,541.74,167.45,21.21,1.18,0.30,0.00
2018/10/23T00:35:57z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.52,0.02,29592,31,587,2.77,4.62,4.81,2.77,4.62,4.81,583.60,181.49,28.51,3.26,0.26,0.26,2.50,4.03,4.19,2.50,4.03,4.19,570.75,177.39,26.14,2.17,0.30,0.00
2018/10/23T00:37:17z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.60,0.02,29672,31,667,2.40,3.67,3.73,2.40,3.67,3.73,575.87,172.04,23.04,2.24,0.33,0.26,2.68,3.53,3.53,2.68,3.53,3.53,518.68,163.08,24.79,0.68,0.30,0.00
2018/10/23T00:38:37z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.58,0.02,30128,31,747,2.44,3.60,3.60,2.44,3.60,3.60,555.07,163.96,22.80,1.60,0.33,0.26,2.68,4.05,4.05,2.68,4.05,4.05,568.46,173.30,25.86,0.89,0.08,0.00
2018/10/23T00:39:57z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.61,0.02,30128,31,827,2.94,3.36,3.36,2.94,3.36,3.36,561.83,171.66,15.64,0.38,0.33,0.26,2.53,3.67,3.69,2.53,3.67,3.69,567.50,176.47,20.42,0.44,0.08,0.00
2018/10/23T00:41:17z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.67,0.02,29696,31,907,2.47,2.98,3.11,2.47,2.98,3.11,528.06,158.57,14.62,0.94,0.13,0.26,2.67,3.72,4.08,2.67,3.72,4.08,565.69,177.49,23.90,2.03,0.38,0.38
2018/10/23T00:42:37z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.68,0.02,29672,31,987,2.27,3.20,3.20,2.27,3.20,3.20,500.67,151.40,21.11,1.31,0.24,0.26,2.76,3.66,3.66,2.76,3.66,3.66,542.53,170.89,22.05,0.24,0.38,0.38
2018/10/23T00:43:57z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.67,0.02,30128,31,1067,2.04,3.07,3.24,2.04,3.07,3.24,516.91,157.35,20.85,0.93,0.17,0.26,2.00,2.59,2.59,2.00,2.59,2.59,466.62,143.14,13.32,0.24,0.38,0.38
2018/10/23T00:45:17z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.64,0.02,30128,31,1147,2.21,3.45,3.70,2.21,3.45,3.70,508.21,154.62,22.77,2.02,0.45,0.23,2.63,3.58,4.08,2.63,3.58,4.08,543.39,166.61,20.76,1.58,0.92,0.38
2018/10/23T00:46:37z,68:c6:3a:89:1d:5b,2.50i,2.0+OPENLOG+15962 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,851.71,0.02,29696,31,1227,1.91,2.34,2.47,1.91,2.34,2.47,445.91,134.04,17.04,0.74,0.26,0.23,2.00,2.92,2.92,2.00,2.92,2.92,482.50,147.75,17.22,0.67,0.92,0.38
