salary,sex,major
80000,M,Poly Sci
82000,F,Poly Sci
67000,F,Poly Sci
83000,F,Poly Sci
60000,M,Poly Sci
200000,M,Poly Sci
171424,M,Poly Sci
90000,F,Poly Sci
22000,F,Poly Sci
23000,F,Poly Sci
22000,F,Poly Sci
90000,M,Poly Sci
10000,M,Poly Sci
129000,M,Poly Sci
93000,F,Poly Sci
100000,M,Poly Sci
50000,M,Poly Sci
105000,M,Poly Sci
390000,F,Poly Sci
36864,F,Poly Sci
20000,F,Poly Sci
120000,F,Poly Sci
30000,M,Poly Sci
75000,M,Poly Sci
52000,F,Poly Sci
126000,M,Poly Sci
250000,M,Poly Sci
40000,F,Poly Sci
125000,M,Poly Sci
360000,F,Poly Sci
152000,M,Poly Sci
219000,M,Poly Sci
75000,M,Poly Sci
120000,M,Poly Sci
135000,F,Poly Sci
90000,F,Poly Sci
80000,M,Poly Sci
113000,F,Poly Sci
74000,M,Poly Sci
80000,M,Poly Sci
82000,F,Poly Sci
126483,F,Poly Sci
170000,F,Poly Sci
170000,M,Poly Sci
40000,M,Poly Sci
18000,M,Poly Sci
126000,F,Poly Sci
40000,F,Poly Sci
60000,M,Poly Sci
97000,M,Poly Sci
125000,M,Poly Sci
300000,M,Poly Sci
105000,M,Poly Sci
82653,F,Poly Sci
40000,F,Poly Sci
5000,M,Poly Sci
141000,M,Poly Sci
66000,F,Poly Sci
150000,M,Poly Sci
67000,F,Poly Sci
80000,M,Poly Sci
1027653,M,Poly Sci
110000,M,Poly Sci
87000,M,Poly Sci
61400,F,Poly Sci
20000,F,Poly Sci
124000,F,Poly Sci
130000,M,Poly Sci
350000,F,Poly Sci
68000,F,Poly Sci
90000,M,Poly Sci
75000,F,Poly Sci
72000,M,Poly Sci
149700,M,Poly Sci
115000,F,Poly Sci
80000,M,Poly Sci
40000,F,Poly Sci
40000,F,Poly Sci
65000,M,Poly Sci
50000,M,Poly Sci
87500,F,Poly Sci
350000,M,Poly Sci
47500,M,Poly Sci
64500,M,Poly Sci
380000,M,Poly Sci
185000,M,Poly Sci
1027653,M,Poly Sci
94000,F,Poly Sci
43780,M,Poly Sci
47000,M,Poly Sci
119000,F,Poly Sci
66000,M,Poly Sci
194000,F,Poly Sci
120000,M,Poly Sci
22000,F,Poly Sci
300000,F,Poly Sci
191000,M,Poly Sci
45000,F,Poly Sci
400000,M,Poly Sci
35000,M,Poly Sci
34000,F,Poly Sci
12000,M,Poly Sci
93000,F,Poly Sci
313000,F,Poly Sci
168500,M,Poly Sci
83200,M,Poly Sci
1027653,M,Poly Sci
132000,F,Poly Sci
112000,M,Poly Sci
180000,M,Poly Sci
50000,M,Poly Sci
90000,F,Poly Sci
300000,F,Poly Sci
110000,M,Poly Sci
57000,M,Poly Sci
55000,F,Poly Sci
42000,F,Poly Sci
185000,F,Poly Sci
76000,F,Poly Sci
3000,M,Poly Sci
140000,M,Poly Sci
90000,M,Poly Sci
110000,M,Poly Sci
60000,F,Poly Sci
125000,M,Poly Sci
41912,F,Poly Sci
60000,M,Poly Sci
52000,M,Poly Sci
200000,F,Poly Sci
73000,M,Poly Sci
60000,M,Poly Sci
81000,M,Poly Sci
240000,M,Poly Sci
100000,F,Poly Sci
61400,F,Poly Sci
16615,F,Poly Sci
115000,F,Poly Sci
87000,M,Poly Sci
37000,F,Poly Sci
200000,F,Poly Sci
20000,F,Poly Sci
120000,M,Poly Sci
80000,M,Poly Sci
61500,F,Poly Sci
140000,M,Poly Sci
52501,F,Poly Sci
6000,F,Poly Sci
62400,M,Poly Sci
26000,F,Poly Sci
120000,M,Poly Sci
161000,M,Poly Sci
250000,M,Poly Sci
110000,M,Poly Sci
67000,M,Poly Sci
58000,M,Poly Sci
19000,F,Poly Sci
45000,F,Poly Sci
100000,F,Poly Sci
100000,M,Poly Sci
160000,M,Poly Sci
127600,F,Poly Sci
172000,F,Poly Sci
150000,M,Poly Sci
170000,F,Poly Sci
250000,M,Poly Sci
250000,F,Poly Sci
140000,M,Poly Sci
112000,M,Poly Sci
95000,F,Poly Sci
96000,M,Poly Sci
80000,F,Poly Sci
200000,M,Poly Sci
70000,M,Poly Sci
65000,M,Poly Sci
62300,F,Poly Sci
12000,F,Poly Sci
112000,M,Poly Sci
9000,F,Poly Sci
51000,F,Poly Sci
0,M,Poly Sci
55380,M,Poly Sci
53248,F,Poly Sci
40000,M,Poly Sci
70000,F,Poly Sci
80000,M,Poly Sci
78000,F,Poly Sci
110000,M,Poly Sci
161900,F,Poly Sci
86000,F,Poly Sci
34800,F,Poly Sci
250000,F,Poly Sci
90468,M,Poly Sci
80000,F,Poly Sci
43000,F,Poly Sci
75218,F,Poly Sci
103000,M,Poly Sci
70000,M,Poly Sci
108000,M,Poly Sci
36100,M,Poly Sci
100000,M,Poly Sci
132000,M,Poly Sci
130000,M,Poly Sci
70000,M,Poly Sci
73000,F,Poly Sci
80000,M,Poly Sci
114000,M,Poly Sci
272000,M,Poly Sci
74600,F,Poly Sci
80000,M,Poly Sci
69204,F,Poly Sci
59000,F,Poly Sci
85000,M,Poly Sci
15000,F,Poly Sci
60000,F,Poly Sci
52000,M,Poly Sci
45000,M,Poly Sci
66000,M,Poly Sci
37800,M,Poly Sci
88000,F,Poly Sci
99000,F,Poly Sci
75500,M,Poly Sci
180000,F,Poly Sci
180000,F,Poly Sci
150000,M,Poly Sci
50000,M,Poly Sci
25000,M,Poly Sci
25000,F,Poly Sci
155000,M,Poly Sci
150000,F,Poly Sci
84000,M,Poly Sci
60000,M,Poly Sci
50000,M,Poly Sci
12000,M,Poly Sci
6696,F,Poly Sci
130000,F,Poly Sci
117000,M,Poly Sci
157000,M,Poly Sci
60000,M,Poly Sci
95000,M,Poly Sci
77000,M,Poly Sci
150000,F,Poly Sci
50000,F,Poly Sci
82000,M,Poly Sci
350000,M,Poly Sci
1027653,F,Poly Sci
300000,M,Poly Sci
105000,M,Poly Sci
19900,M,Poly Sci
295000,M,Poly Sci
80000,F,Poly Sci
1027653,M,Poly Sci
202000,M,Poly Sci
12000,M,Poly Sci
250000,M,Poly Sci
88033,M,Poly Sci
0,M,Poly Sci
2500,F,Poly Sci
132000,F,Poly Sci
7200,M,Poly Sci
100050,M,Poly Sci
100000,M,Poly Sci
1027653,F,Poly Sci
67000,F,Poly Sci
56000,M,Poly Sci
70000,F,Poly Sci
63000,M,Poly Sci
94000,F,Poly Sci
98000,M,Poly Sci
39000,M,Poly Sci
250000,M,Poly Sci
45000,M,Poly Sci
16789,F,Poly Sci
67000,F,Poly Sci
84917,M,Poly Sci
75000,M,Poly Sci
158000,F,Poly Sci
103,M,Poly Sci
200000,M,Poly Sci
100000,F,Poly Sci
107000,F,Poly Sci
100000,M,Poly Sci
140000,M,Poly Sci
39000,M,Poly Sci
211000,F,Poly Sci
307000,M,Poly Sci
67000,F,Poly Sci
120000,M,Poly Sci
110000,F,Poly Sci
163000,F,Poly Sci
16000,M,Poly Sci
43000,M,Poly Sci
97552,M,Poly Sci
80000,F,Poly Sci
60000,M,Poly Sci
56000,M,Poly Sci
1000,F,Poly Sci
1027653,M,Poly Sci
1027653,M,Poly Sci
20000,F,Poly Sci
47454,F,Poly Sci
350000,M,Poly Sci
72000,M,Poly Sci
110000,F,Poly Sci
86000,M,Poly Sci
25000,M,Poly Sci
51000,F,Poly Sci
61000,F,Poly Sci
87000,M,Poly Sci
180000,F,Poly Sci
124126,F,Poly Sci
109000,F,Poly Sci
250000,F,Poly Sci
84000,M,Poly Sci
238000,M,Poly Sci
35000,M,Poly Sci
1027653,M,Poly Sci
292000,M,Poly Sci
205000,M,Poly Sci
125000,F,Poly Sci
36190,F,Poly Sci
115000,M,Poly Sci
180000,M,Poly Sci
50000,M,Poly Sci
75000,M,Poly Sci
60000,M,Poly Sci
35000,F,Poly Sci
37000,F,Poly Sci
103000,M,Poly Sci
290000,M,Poly Sci
100000,F,Poly Sci
106822,M,Poly Sci
1750,M,Poly Sci
85000,M,Poly Sci
48000,F,Poly Sci
130000,M,Poly Sci
62000,F,Poly Sci
83000,F,Poly Sci
80000,F,Poly Sci
68367,F,Poly Sci
55000,M,Poly Sci
78467,M,Poly Sci
19500,F,Poly Sci
98680,F,Poly Sci
3000,M,Poly Sci
60000,M,Poly Sci
140000,F,Poly Sci
42000,F,Poly Sci
135000,F,Poly Sci
168000,F,Poly Sci
142000,F,Poly Sci
93000,F,Poly Sci
90000,M,Poly Sci
48690,F,Poly Sci
125000,M,Poly Sci
150000,M,Poly Sci
75000,M,Poly Sci
93912,F,Poly Sci
137000,M,Poly Sci
135000,F,Poly Sci
16000,F,Poly Sci
76000,F,Poly Sci
100000,M,Poly Sci
32316,F,Poly Sci
100000,M,Poly Sci
21000,F,Poly Sci
41000,F,Poly Sci
100000,F,Poly Sci
180000,M,Poly Sci
78000,M,Poly Sci
63000,M,Poly Sci
140000,M,Poly Sci
25000,F,Poly Sci
24000,F,Poly Sci
45000,M,Poly Sci
142000,M,Poly Sci
190000,M,Poly Sci
58000,F,Poly Sci
63000,M,Poly Sci
87000,F,Poly Sci
1027653,M,Poly Sci
32000,F,Poly Sci
25000,F,Poly Sci
150000,M,Poly Sci
97000,M,Poly Sci
144000,F,Poly Sci
11000,F,Poly Sci
180000,F,Poly Sci
37000,M,Poly Sci
120000,M,Poly Sci
94000,M,Poly Sci
16000,F,Poly Sci
8000,F,Poly Sci
80000,F,Poly Sci
103000,F,Poly Sci
350000,M,Poly Sci
350000,M,Poly Sci
150000,F,Poly Sci
80000,F,Poly Sci
68000,M,Poly Sci
50000,F,Poly Sci
200000,M,Poly Sci
100000,M,Poly Sci
60000,F,Poly Sci
123000,M,Poly Sci
60000,M,Poly Sci
45000,M,Poly Sci
22500,F,Poly Sci
200000,M,Poly Sci
60000,F,Poly Sci
0,M,Poly Sci
110000,F,Poly Sci
1027653,M,Poly Sci
70000,F,Poly Sci
50000,M,Poly Sci
105000,M,Poly Sci
63000,F,Poly Sci
16337,M,Poly Sci
153700,M,Poly Sci
133000,M,Poly Sci
101000,M,Poly Sci
85000,M,Poly Sci
28000,F,Poly Sci
101000,F,Poly Sci
78000,F,Poly Sci
105809,F,Poly Sci
42000,F,Poly Sci
300000,M,Poly Sci
250000,F,Poly Sci
1125,F,Poly Sci
175000,M,Poly Sci
58000,M,Poly Sci
150000,M,Poly Sci
60000,M,Poly Sci
175000,F,Poly Sci
250000,F,Poly Sci
81792,F,Poly Sci
150000,M,Poly Sci
9500,M,Poly Sci
24000,F,Poly Sci
105000,M,Poly Sci
150000,F,Poly Sci
139000,F,Poly Sci
131767,F,Poly Sci
168000,F,Poly Sci
250000,M,Poly Sci
135000,M,Poly Sci
65000,M,Poly Sci
65000,M,Poly Sci
80000,F,Poly Sci
135371,F,Poly Sci
