created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/20/17 1:34,.@SenateGOP just cleared the way for tax cuts for the wealthy and $1.5 trillion in more debt that our children will‰Û_ https://t.co/3B3A3leTmZ,https://twitter.com/SenBennetCO/status/921187713721741312,50,85,105,SenBennetCO,B001267,D,CO
10/19/17 20:44,RT @DenverChannel: .@SenBennetCO calls for government accountability office to probe Trump voter fraud commission https://t.co/9iWG9hIvc0 #‰Û_,https://twitter.com/SenBennetCO/status/921114923735937026,14,25,69,SenBennetCO,B001267,D,CO
10/19/17 20:07,"5,000 Coloradans unregistered because of @POTUS Commission efforts. This among other questionable actions requires‰Û_ https://t.co/unNH8tGXoo",https://twitter.com/SenBennetCO/status/921105507552759808,35,111,245,SenBennetCO,B001267,D,CO
10/19/17 18:35,Trying to open #Arctic to drilling by way of #budget resolution is political stunt masquerading as energy plan‰ÛÓand‰Û_ https://t.co/2i8srnEfHa,https://twitter.com/SenBennetCO/status/921082482266705921,10,66,138,SenBennetCO,B001267,D,CO
10/19/17 18:26,Bipartisan #AlexanderMurray responds to testimonies @timkaine &amp; I heard in HELP cmt &amp; will help stabilize markets i‰Û_ https://t.co/yxqeVMa7K8,https://twitter.com/SenBennetCO/status/921080154507661313,2,13,26,SenBennetCO,B001267,D,CO
10/19/17 14:36,RT if you agree that a public option is important step to lower costs &amp; provide more choices for rural communities.‰Û_ https://t.co/XR52AnRBaE,https://twitter.com/SenBennetCO/status/921022190199418881,42,496,466,SenBennetCO,B001267,D,CO
10/19/17 11:26,LIVE now on @Morning_Joe with my friend &amp; colleague @timkaine to talk about our plan to lower costs &amp; increase comp‰Û_ https://t.co/GLxgbfrvNl,https://twitter.com/SenBennetCO/status/920974425574518785,40,65,318,SenBennetCO,B001267,D,CO
10/19/17 10:47,Tune in this morning at 7:20 am ET to hear more from @timkaine &amp; me about #MedicareX on @Morning_Joe https://t.co/Efo70xwNYE,https://twitter.com/SenBennetCO/status/920964729513836544,12,22,116,SenBennetCO,B001267,D,CO
10/18/17 20:44,14 of Colorado‰Ûªs 64 counties only have one health insurance option on individual market. #MedicareX would change th‰Û_ https://t.co/hCCFRt6dU8,https://twitter.com/SenBennetCO/status/920752537707405312,16,25,85,SenBennetCO,B001267,D,CO
10/18/17 20:15,"Read more about why we're calling on @USGAO to review ""voter fraud"" Commission's questionable motives &amp; objectivity https://t.co/GFjWk2NHlK",https://twitter.com/SenBennetCO/status/920745143313068033,22,55,188,SenBennetCO,B001267,D,CO
